resturant,address,rate,rate_count,food,avg_price_for_two,rate_ratio,sector,fod,continental,italian,chicken,desserts,north indian,asian,japanese,fast food,sandwich,bbq,south indian,street food,bakery,cafe,seafood,european,pizza,burger,chinese,ice cream,wraps,biryani,momos,mexican,american,rajasthani,image
Khan Chacha,"Worldmark, Gurgaon",3.2,51.0,"rolls,kebab,north indian,mughlai,biryani",500.0,12.774975538137053,Worldmark,"wraps,chicken,north indian,chicken,biryani",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/8/18291198/61400b1cd420a594db38a5f3c3bf9813_featured_v2.jpg
Love Over Coffee,"Sector 23, Gurgaon",3.9,6.0,"coffee,tea,cafe,beverages",400.0,4.8373546489791295,Sector 23,"cafe,cafe,cafe,cafe",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/0/18896450/95daba7faed7cdb54376525998c034a8_featured_v2.jpg
Asagao,"Sector 45, Gurgaon",3.9,52.0,"japanese,sushi,asian,italian",1400.0,14.240786495134316,Sector 45,"japanese,japanese,asian,italian",0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/3/8913/b7a1234a2f0b2171c164ff3cd3f65346_featured_v2.jpg
Drizzle & Dust,"DLF Phase 4, Gurgaon",3.8,88.0,"bakery,desserts,fast food,sandwich,coffee,beverages",300.0,18.286607121059937,DLF Phase Phase,"bakery,desserts,fast food,sandwich,cafe,cafe",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/3/8913/b7a1234a2f0b2171c164ff3cd3f65346_featured_v2.jpg
Chaayos Chai+Snacks=Relax,"DLF Galleria, DLF Phase 4, Gurgaon",3.7,1430.0,"tea,fast food,cafe,rolls,coffee,beverages",450.0,72.73926037567333,DLF Phase Phase,"cafe,fast food,cafe,wraps,cafe,cafe",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/0/20520750/70f79f0a26c01fbb7fa684e093321724_featured_v2.jpg
Lucknowi Khazana,"Sector 56, Gurgaon",4.2,61.0,"north indian,rolls",400.0,16.00624877977348,Sector 56,"north indian,wraps",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/5/19320335/1d403dab649727f31cb5069670546642_featured_v2.jpg
Chaat Chobara,"Sector 83, Gurgaon",3.6,69.0,"street food,momos,north indian,rolls",250.0,15.760710643876436,Sector 83,"street food,momos,north indian,wraps",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/4/18575144/b47707534b6f00a0d70481f99d2f56e7_featured_v2.jpg
Pizza By Rimha,"Baani Square, Sector 50, Gurgaon",4.1,128.0,"pizza,burger,sandwich,pasta,desserts,beverages",750.0,22.908513701242164,Sector 50,"pizza,burger,sandwich,italian,desserts,cafe",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/9/19677039/430943131ed2fede219e39de5455e8c7_featured_v2.jpg
Bakers Oven,"Sector 83, Gurgaon",3.8,86.0,"bakery,fast food,beverages,pizza,wraps,shake",400.0,18.077610461562667,Sector 83,"bakery,fast food,cafe,pizza,wraps,cafe",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/3/19539403/7120a7dd8f007e378c436463af5061f6_featured_v2.jpg
Solanas Chinese & Thai,"Sector 60, Gurgaon",4.7,216.0,"chinese,sushi,sichuan,beverages,japanese,momos,asian",400.0,31.86220331364421,Sector 60,"chinese,japanese,cafe,japanese,momos,asian",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/5/19320335/1d403dab649727f31cb5069670546642_featured_v2.jpg
